NO_DECLARATION,DATE_DECLARATION,DATE_PRIOR_INSP,EXT_FREQ,DATE_FIRST_EXT,DATE_LAST_EXT,HOOD_NUM,HOOD_NAME,BORO_NAME,MTM8_X,MTM8_Y,LONGITUDE,LATITUDE,LONG_LAT,MTM_X_Y,DEC_MONTH,DEC_ISSUE,DATE_DIFF
4254,2012-10-28,2012-09-21,1,2012-09-21,2012-09-21,24,Beaurivage,Mercier–Hochelaga-Maisonneuve,303753.6,5049835.7,-73.513411,45.588426,-73.513411_45.588426,303753.6_5049835.7,10,1,37
830,2011-09-16,2011-07-13,1,2011-07-27,2011-08-17,50,Saint-Henri,Le Sud-Ouest,298119.8,5036963.7,-73.585437,45.472569,-73.585437_45.472569,298119.8_5036963.7,9,1,65
1380,2011-11-08,2011-11-02,1,2011-11-07,2011-11-21,30,Sainte-Marie,Ville-Marie,300294.9,5042372.1,-73.557668,45.521253,-73.557668_45.521253,300294.9_5042372.1,11,1,6
455,2011-08-10,2011-08-09,1,2011-08-09,2011-08-09,44,Upper Lachine,Côte-des-Neiges–Notre-Dame-de-Grâce,296046.9,5036494.9,-73.611941,45.468327,-73.611941_45.468327,296046.9_5036494.9,8,1,1
1243,2011-10-26,2011-09-16,1,2011-10-05,2011-10-05,19,Petite-Côte,Rosemont–La Petite-Patrie,299524.2,5045639.9,-73.567569,45.550652,-73.56756899999999_45.550652,299524.2_5045639.9,10,1,40
131,2011-07-08,2011-07-05,2,2011-07-05,2011-08-10,33,Parc-Laurier,Le Plateau-Mont-Royal,297942.9,5043231.1,-73.587788,45.528963,-73.587788_45.528963,297942.9_5043231.1,7,1,3
2392,2012-03-21,2012-03-18,1,2012-03-18,2012-03-18,10,François-Perrault,Villeray–Saint-Michel–Parc-Extension,296311.4,5047204.6,-73.608744,45.5647,-73.608744_45.5647,296311.4_5047204.6,3,1,3
4281,2012-10-31,2012-10-26,1,2012-10-30,2012-10-30,24,Beaurivage,Mercier–Hochelaga-Maisonneuve,303710.6,5050625.6,-73.513964,45.595534,-73.513964_45.595534,303710.6_5050625.6,10,1,5
357,2011-08-03,2011-08-03,2,2011-08-03,2011-08-16,11,Parc-Extension,Villeray–Saint-Michel–Parc-Extension,294938.2,5043058.1,-73.626251,45.52737,-73.626251_45.52737,294938.2_5043058.1,8,1,0
4259,2012-10-28,2012-10-05,2,2012-10-05,2012-11-19,31,Lorimier,Le Plateau-Mont-Royal,299354.2,5043923.6,-73.569727,45.535207,-73.569727_45.535207,299354.2_5043923.6,10,1,23
4031,2012-10-04,2012-10-03,1,2012-10-17,2012-10-17,19,Petite-Côte,Rosemont–La Petite-Patrie,299499.3,5045581.1,-73.567887,45.550123,-73.567887_45.550123,299499.3_5045581.1,10,1,1
1309,2011-11-01,2011-11-01,1,2012-01-24,2012-01-24,11,Parc-Extension,Villeray–Saint-Michel–Parc-Extension,294963.5,5043117.9,-73.625929,45.527909,-73.625929_45.527909,294963.5_5043117.9,11,1,0
931,2011-09-29,2011-09-26,1,2011-09-27,2011-09-27,33,Parc-Laurier,Le Plateau-Mont-Royal,297977.4,5043286.1,-73.587347,45.529458,-73.587347_45.529458,297977.4_5043286.1,9,1,3
1555,2011-11-23,2011-10-17,1,2011-10-31,2011-10-31,28,Maisonneuve,Mercier–Hochelaga-Maisonneuve,302334,5046065.1,-73.531586,45.554494,-73.531586_45.554494,302334.0_5046065.1,11,1,37
2460,2012-04-02,2012-03-28,1,2012-03-28,2012-03-28,16,Louis-Hébert,Rosemont–La Petite-Patrie,296714.5,5045164.6,-73.603546,45.546348,-73.603546_45.546347999999995,296714.5_5045164.6,4,1,5
2802,2012-05-17,2012-04-17,1,2012-04-17,2012-04-17,73,Anjou,Anjou,300671.5,5050866.1,-73.55292,45.597687,-73.55292_45.597687,300671.5_5050866.1,5,1,30
155,2011-07-11,2011-07-11,1,2011-07-11,2011-07-11,32,Parc-Lafontaine,Le Plateau-Mont-Royal,298992.6,5042863.1,-73.574344,45.525662,-73.574344_45.525662,298992.6_5042863.1,7,1,0
2174,2012-02-15,2012-02-13,1,2012-02-27,2012-02-27,18,Vieux-Rosemont,Rosemont–La Petite-Patrie,298515.6,5045014.5,-73.580479,45.545016,-73.580479_45.545016,298515.6_5045014.5,2,1,2
2758,2012-05-11,2012-05-08,1,2012-05-08,2012-05-08,34,Mile End,Le Plateau-Mont-Royal,297702.1,5041950.6,-73.590852,45.517438,-73.590852_45.517438,297702.1_5041950.6,5,1,3
499,2011-08-12,2011-07-23,1,2011-07-23,2011-07-23,34,Mile End,Le Plateau-Mont-Royal,298156.8,5042410.3,-73.585038,45.52158,-73.585038_45.52158,298156.8_5042410.3,8,1,20
3086,2012-07-06,2012-07-05,1,2012-07-05,2012-07-05,30,Sainte-Marie,Ville-Marie,300559,5042090.6,-73.554286,45.518721,-73.554286_45.518721,300559.0_5042090.6,7,1,1
2384,2012-03-20,2012-03-19,1,2012-04-02,2012-04-02,60A,Ouest,Montréal-Nord,293162.6,5049623.2,-73.649139,45.586418,-73.649139_45.586418,293162.6_5049623.2,3,1,1
2952,2012-06-14,2012-06-14,1,2012-07-23,2012-07-23,41,Édouard-Montpetit,Côte-des-Neiges–Notre-Dame-de-Grâce,294711.3,5039278.7,-73.629078,45.493359,-73.629078_45.493359000000005,294711.3_5039278.7,6,1,0
1813,2011-12-14,2011-12-12,1,2012-01-13,2012-01-14,42,Parc-Kent,Côte-des-Neiges–Notre-Dame-de-Grâce,295006.8,5041184.7,-73.625336,45.510514,-73.625336_45.510514,295006.8_5041184.7,12,1,2
2155,2012-02-11,2012-01-17,1,2012-01-20,2012-01-20,61,Est,Montréal-Nord,296145.1,5052629.6,-73.610971,45.613514,-73.61097099999999_45.613514,296145.1_5052629.6,2,1,25
2438,2012-03-29,2012-03-29,1,2012-04-25,2012-04-25,32,Parc-Lafontaine,Le Plateau-Mont-Royal,299219.9,5043177.7,-73.571439,45.528494,-73.571439_45.528494,299219.9_5043177.7,3,1,0
2549,2012-04-16,2012-04-12,1,2012-04-26,2012-04-26,20,Marie-Victorin,Rosemont–La Petite-Patrie,298698.3,5047163.1,-73.578166,45.564351,-73.57816600000001_45.564351,298698.3_5047163.1,4,1,4
597,2011-08-18,2011-08-17,1,2011-08-31,2011-09-21,14,Saint-Édouard,Rosemont–La Petite-Patrie,296327.8,5043968.6,-73.608477,45.535581,-73.60847700000001_45.535581,296327.8_5043968.6,8,1,1
1800,2011-12-13,2011-10-17,1,2011-10-31,2011-11-21,55,Chameran/Montpellier,Saint-Laurent,290950.3,5043071.3,-73.677305,45.527421,-73.677305_45.527421000000004,290950.3_5043071.3,12,1,57
3148,2012-07-11,2012-07-09,1,2012-07-09,2012-07-11,64,Verdun-Centre,Verdun,298875.7,5035820.5,-73.575756,45.462288,-73.57575600000001_45.462288,298875.7_5035820.5,7,1,2
1423,2011-11-14,2011-11-11,1,2011-11-11,2011-11-11,58,Bois-Francs,Saint-Laurent,289031,5040683.5,-73.701799,45.505894,-73.701799_45.505894,289031.0_5040683.5,11,1,3
2767,2012-05-14,2012-05-11,4,2012-05-11,2012-06-14,34,Mile End,Le Plateau-Mont-Royal,297590.7,5043047,-73.592293,45.527303,-73.59229300000001_45.527303,297590.7_5043047.0,5,1,3
852,2011-09-19,2011-09-02,1,2011-09-16,2011-09-16,15,Père-Marquette,Rosemont–La Petite-Patrie,297076.4,5044538.6,-73.598902,45.540719,-73.598902_45.540719,297076.4_5044538.6,9,1,17
3191,2012-07-16,2012-07-06,1,2012-07-06,2012-09-06,11,Parc-Extension,Villeray–Saint-Michel–Parc-Extension,294841.5,5042828.4,-73.627485,45.525302,-73.627485_45.525302,294841.5_5042828.4,7,1,10
1659,2011-12-01,2011-10-17,1,2011-10-17,2011-10-17,17,Étienne Desmarteaux,Rosemont–La Petite-Patrie,298482,5046808.9,-73.580932,45.561162,-73.58093199999999_45.561162,298482.0_5046808.9,12,1,45
